Dirección A,Puerto A,Dirección B,Puerto B,Paquetes,Bytes,Stream ID,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Inicio rel,Duración,Bits/s A → B,Bits/s B → A
"0.0.0.0",68,"255.255.255.255",67,245,84554,24,245,84554,0,0,2.354344,2173.6273,311,0
"10.11.1.202",5353,"224.0.0.251",5353,2,479,2727,2,479,0,0,418.820599,495.47227699999996,7,0
"192.168.168.1",67,"192.168.168.209",68,21,8442,947,21,8442,0,0,133.721404,1882.914151,35,0
"192.168.168.33",54601,"239.255.255.250",1900,6,1002,5429,6,1002,0,0,801.147756,10.233429000000001,783,0
"192.168.168.35",32778,"192.168.168.209",58112,1,366,13013,1,366,0,0,1950.939528,0,"",""
"192.168.168.35",32786,"192.168.168.209",58112,1,366,3089,1,366,0,0,477.038291,0,"",""
"192.168.168.35",32839,"192.168.168.209",58112,1,360,11815,1,360,0,0,1789.574583,0,"",""
"192.168.168.35",32916,"192.168.168.209",58112,1,360,12338,1,360,0,0,1860.170917,0,"",""
"192.168.168.35",32982,"192.168.168.209",58112,1,360,2193,1,360,0,0,338.999396,0,"",""
"192.168.168.35",33056,"192.168.168.209",58112,1,366,9434,1,366,0,0,1449.83282,0,"",""
"192.168.168.35",33071,"192.168.168.209",58112,1,366,7729,1,366,0,0,1167.758212,0,"",""
"192.168.168.35",33091,"192.168.168.209",58112,1,360,10011,1,360,0,0,1537.53006,0,"",""
"192.168.168.35",33125,"192.168.168.209",58112,1,366,7807,1,366,0,0,1181.914008,0,"",""
"192.168.168.35",33141,"192.168.168.209",58112,2,732,7955,2,732,0,0,1212.16935,864.0459600000002,6,0
"192.168.168.35",33174,"192.168.168.209",58112,1,360,14581,1,360,0,0,2146.774528,0,"",""
"192.168.168.35",33176,"192.168.168.209",58112,1,366,10367,1,366,0,0,1590.937934,0,"",""
"192.168.168.35",33184,"192.168.168.209",58112,1,360,3920,1,360,0,0,610.995036,0,"",""
"192.168.168.35",33203,"192.168.168.209",58112,1,366,7769,1,366,0,0,1174.826748,0,"",""
"192.168.168.35",33225,"192.168.168.209",58112,1,360,822,1,360,0,0,114.246592,0,"",""
"192.168.168.35",33247,"192.168.168.209",58112,1,366,9290,1,366,0,0,1429.701092,0,"",""
"192.168.168.35",33285,"192.168.168.209",58112,1,360,13537,1,360,0,0,2019.735161,0,"",""
"192.168.168.35",33304,"192.168.168.209",58112,1,366,10982,1,366,0,0,1678.6946,0,"",""
"192.168.168.35",33311,"192.168.168.209",58112,1,366,4192,1,366,0,0,655.325489,0,"",""
"192.168.168.35",33353,"192.168.168.209",58112,1,360,2579,1,360,0,0,393.492401,0,"",""
"192.168.168.35",33355,"192.168.168.209",58112,1,360,7209,1,360,0,0,1087.172415,0,"",""
"192.168.168.35",33365,"192.168.168.209",58112,1,360,9569,1,360,0,0,1470.029266,0,"",""
"192.168.168.35",33385,"192.168.168.209",58112,1,360,4050,1,360,0,0,631.117543,0,"",""
"192.168.168.35",33442,"192.168.168.209",58112,1,366,2578,1,366,0,0,393.488048,0,"",""
"192.168.168.35",33536,"192.168.168.209",58112,1,366,4027,1,366,0,0,628.101519,0,"",""
"192.168.168.35",33537,"192.168.168.209",58112,1,360,14913,1,360,0,0,2187.098882,0,"",""
"192.168.168.35",33595,"192.168.168.209",58112,2,726,6316,2,726,0,0,946.225938,410.003297,14,0
"192.168.168.35",33678,"192.168.168.209",58112,1,360,2409,1,360,0,0,369.262645,0,"",""
"192.168.168.35",33717,"192.168.168.209",58112,1,366,11055,1,366,0,0,1688.802019,0,"",""
"192.168.168.35",33746,"192.168.168.209",58112,1,366,3727,1,366,0,0,577.750798,0,"",""
"192.168.168.35",33804,"192.168.168.209",58112,1,366,7165,1,366,0,0,1081.139353,0,"",""
"192.168.168.35",33812,"192.168.168.209",58112,1,360,1844,1,360,0,0,282.583769,0,"",""
"192.168.168.35",33875,"192.168.168.209",58112,1,360,6692,1,360,0,0,1006.51911,0,"",""
"192.168.168.35",33878,"192.168.168.209",58112,1,360,13152,1,360,0,0,1968.093666,0,"",""
"192.168.168.35",33888,"192.168.168.209",58112,1,366,11034,1,366,0,0,1685.767249,0,"",""
"192.168.168.35",33896,"192.168.168.209",58112,1,360,3772,1,360,0,0,587.811423,0,"",""
"192.168.168.35",33900,"192.168.168.209",58112,1,360,10981,1,360,0,0,1678.6946,0,"",""
"192.168.168.35",33957,"192.168.168.209",58112,1,366,1268,1,366,0,0,184.803774,0,"",""
"192.168.168.35",34017,"192.168.168.209",58112,1,366,12626,1,366,0,0,1897.510453,0,"",""
"192.168.168.35",34089,"192.168.168.209",58112,1,360,9025,1,360,0,0,1389.523591,0,"",""
"192.168.168.35",34188,"192.168.168.209",58112,1,360,4346,1,360,0,0,678.477336,0,"",""
"192.168.168.35",34228,"192.168.168.209",58112,1,366,9416,1,366,0,0,1446.827346,0,"",""
"192.168.168.35",34238,"192.168.168.209",58112,1,366,4051,1,366,0,0,631.117543,0,"",""
"192.168.168.35",34239,"192.168.168.209",58112,1,360,10561,1,360,0,0,1621.143002,0,"",""
"192.168.168.35",34286,"192.168.168.209",58112,1,366,3467,1,366,0,0,537.433241,0,"",""
"192.168.168.35",34288,"192.168.168.209",58112,1,366,7010,1,366,0,0,1056.896931,0,"",""
"192.168.168.35",34302,"192.168.168.209",58112,1,360,9367,1,360,0,0,1439.779865,0,"",""
"192.168.168.35",34315,"192.168.168.209",58112,1,366,9320,1,366,0,0,1433.764089,0,"",""
"192.168.168.35",34330,"192.168.168.209",58112,1,360,3380,1,360,0,0,524.374824,0,"",""
"192.168.168.35",34334,"192.168.168.209",58112,1,366,8885,1,366,0,0,1366.274728,0,"",""
"192.168.168.35",34370,"192.168.168.209",58112,1,360,7104,1,360,0,0,1071.051473,0,"",""
"192.168.168.35",34377,"192.168.168.209",58112,1,360,9293,1,360,0,0,1429.701391,0,"",""
"192.168.168.35",34433,"192.168.168.209",58112,1,366,2680,1,366,0,0,409.91299,0,"",""
"192.168.168.35",34441,"192.168.168.209",58112,1,366,7488,1,366,0,0,1131.532296,0,"",""
"192.168.168.35",34449,"192.168.168.209",58112,2,732,1510,2,732,0,0,228.073937,1511.08237,3,0
"192.168.168.35",34483,"192.168.168.209",58112,2,720,6861,2,720,0,0,1033.700088,23.196842999999944,248,0
"192.168.168.35",34503,"192.168.168.209",58112,1,360,3011,1,360,0,0,464.020463,0,"",""
"192.168.168.35",34532,"192.168.168.209",58112,1,366,5829,1,366,0,0,862.562068,0,"",""
"192.168.168.35",34534,"192.168.168.209",58112,1,366,3819,1,366,0,0,594.901109,0,"",""
"192.168.168.35",34550,"192.168.168.209",58112,1,360,9127,1,360,0,0,1406.547646,0,"",""
"192.168.168.35",34558,"192.168.168.209",58112,1,360,13690,1,360,0,0,2035.857064,0,"",""
"192.168.168.35",34577,"192.168.168.209",58112,1,366,9365,1,366,0,0,1439.779865,0,"",""
"192.168.168.35",34588,"192.168.168.209",58112,1,360,14424,1,360,0,0,2126.605298,0,"",""
"192.168.168.35",34596,"192.168.168.209",58112,1,366,600,1,366,0,0,83.994426,0,"",""
"192.168.168.35",34627,"192.168.168.209",58112,1,366,1752,1,366,0,0,265.447208,0,"",""
"192.168.168.35",34647,"192.168.168.209",58112,1,360,3708,1,360,0,0,574.738185,0,"",""
"192.168.168.35",34692,"192.168.168.209",58112,1,360,1652,1,360,0,0,252.363713,0,"",""
